Cycle,Interesting_Passcodes,Interesting_Commands,Errors,Tests_This_Cycle,Total_Tests,Avg_Execution_Time
1,5,2,4,10,10,0.0687
2,5,2,4,10,20,0.0597
3,5,2,4,10,30,0.0412
4,6,2,5,10,40,0.039
5,6,2,5,10,50,0.0402
6,6,2,5,10,60,0.0357
7,6,2,5,10,70,0.0335
8,6,2,5,10,80,0.0311
9,6,2,5,10,90,0.0289
10,6,2,5,10,100,0.0281
11,7,2,6,10,110,0.0298
12,7,2,6,10,120,0.0319
13,7,2,6,10,130,0.0326
14,8,2,7,10,140,0.0328
15,8,2,7,10,150,0.0304
16,9,2,9,10,160,0.0296
17,9,2,9,10,170,0.0292
18,9,2,9,10,180,0.0292
19,9,2,9,10,190,0.029
20,9,2,9,10,200,0.0283
21,9,2,9,10,210,0.028
22,9,2,9,10,220,0.0275
23,9,2,9,10,230,0.0274
24,9,2,9,10,240,0.0273
25,10,2,10,10,250,0.027
26,10,2,10,10,260,0.0272
